Provider_Name,Provider_Cat,Low_Cost,Med_Cost,High_Cost,VHigh_Cost,State,Child_Pov_LVL,High_School_Grad_Perc,Med_Age,Med_Fam_Income,Med_HHold_Income,Perc_NonEnglish,Perc_Veterans,Pov_LVL,Population_Total,Perc_Pop_Under18,Perc_Pop_18_24,Perc_Pop_25_44,Perc_Pop_45_64,Perc_Pop_Over65,Male_per_100_Females_All,Male_per_100_Females_Over18,Housing_Units,Area_Total,Water_Area,Land_Area,Pop_Density,Housing_Density,Perc_White,Perc_Black,Perc_Native,Perc_Asian,Perc_Islander,Perc_Other,Perc_MultiRace,Perc_Latin,Perc_WhiteAlone
CHRISTUS SPOHN HOSPITAL BEEVILLE,Med,0,1,0,0,Texas,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0
CHRISTUS SPOHN HOSPITAL CORPUS CHRISTI,Med,0,1,0,0,Texas,0,0,0,0,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0
CHRISTUS SPOHN HOSPITAL KLEBERG,Low,1,0,0,0,Texas,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
CHRISTUS ST FRANCES CABRINI HOSPITAL,Low,1,0,0,0,Louisiana,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CHRISTUS ST MICHAEL HEALTH SYSTEM,Low,1,0,0,0,Texas,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CHRISTUS ST PATRICK HOSPITAL,Low,1,0,0,0,Louisiana,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CHRISTUS ST VINCENT REGIONAL MEDICAL CENTER,High,0,0,1,0,New Mexico,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0
CITIZENS BAPTIST MEDICAL CENTER,Med,0,1,0,0,Alabama,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CITIZENS MEDICAL CENTER,Low,1,0,0,0,Texas,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
CITIZENS MEDICAL CENTER,Low,1,0,0,0,Louisiana,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
CITIZENS MEMORIAL HOSPITAL,Med,0,1,0,0,Missouri,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
CITRUS MEMORIAL HOSPITAL,Low,1,0,0,0,Florida,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
CITRUS VALLEY MEDICAL CENTER-IC CAMPUS,High,0,0,1,0,California,0,1,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0
CJW MEDICAL CENTER,Med,0,1,0,0,Virginia,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
CLAIBORNE MEDICAL CENTER,Low,1,0,0,0,Tennessee,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
CLAIBORNE MEMORIAL MEDICAL CENTER,Low,1,0,0,0,Louisiana,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CLARENDON MEMORIAL HOSPITAL,Med,0,1,0,0,South Carolina,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CLARK MEMORIAL HOSPITAL,Low,1,0,0,0,Indiana,0,1,1,1,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
CLARK REGIONAL MEDICAL CENTER,Low,1,0,0,0,Kentucky,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
CLAXTON-HEPBURN MEDICAL CENTER,Med,0,1,0,0,New York,1,0,1,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
CLAY COUNTY HOSPITAL,Low,1,0,0,0,Alabama,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
CLAY COUNTY MEDICAL CENTER,Low,1,0,0,0,Mississippi,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CLEAR LAKE REGIONAL MEDICAL CENTER,Med,0,1,0,0,Texas,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0
CLEARVIEW  REGIONAL MEDICAL CENTER,Low,1,0,0,0,Georgia,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CLEVELAND CLINIC HOSPITAL,Low,1,0,0,0,Florida,0,1,1,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
CLIFTON SPRINGS HOSPITAL AND CLINIC,Med,0,1,0,0,New York,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
CLINCH VALLEY MEDICAL CENTER,Low,1,0,0,0,Virginia,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"CLINTON COUNTY HOSPITAL, INC",Med,0,1,0,0,Kentucky,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
CLINTON HOSPITAL ASSOCIATION,Med,0,1,0,0,Massachusetts,0,1,1,1,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1
CLINTON MEMORIAL HOSPITAL,Low,1,0,0,0,Ohio,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
CLOVIS COMMUNITY MEDICAL CENTER,High,0,0,1,0,California,0,1,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0
COALINGA REGIONAL MEDICAL CENTER,Very High,0,0,0,1,California,1,0,0,0,1,1,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
COAST PLAZA HOSPITAL,High,0,0,1,0,California,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0
COASTAL CAROLINA HOSPITAL,Low,1,0,0,0,South Carolina,1,0,0,0,0,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
COBLESKILL REGIONAL HOSPITAL,High,0,0,1,0,New York,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
COFFEE REGIONAL MEDICAL CENTER,Low,1,0,0,0,Georgia,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
COFFEY COUNTY HOSPITAL,High,0,0,1,0,Kansas,0,1,1,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
COFFEYVILLE REGIONAL MEDICAL CENTER,Low,1,0,0,0,Kansas,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1
COGDELL MEMORIAL HOSPITAL,Med,0,1,0,0,Texas,0,0,0,1,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
COLLEGE HOSPITAL COSTA MESA,Very High,0,0,0,1,California,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0
COLLEGE MEDICAL CENTER,High,0,0,1,0,California,1,0,0,0,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0,1,1,0,0,0,1,1,1,1,1,0
COLLEGE STATION MEDICAL CENTER,Low,1,0,0,0,Texas,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
COLLETON MEDICAL CENTER,Low,1,0,0,0,South Carolina,1,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
COLORADO PLAINS MEDICAL CENTER,Med,0,1,0,0,Colorado,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0
COLQUITT REGIONAL MEDICAL CENTER,Low,1,0,0,0,Georgia,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
COLUMBIA MEMORIAL HOSPITAL,Med,0,1,0,0,New York,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0
COLUMBIA ST MARYS HOSPITAL MILWAUKEE,Med,0,1,0,0,Wisconsin,1,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1,0
COLUMBIA ST MARYS HOSPITAL OZAUKEE,Low,1,0,0,0,Wisconsin,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
COLUMBUS COMMUNITY HOSPITAL,Med,0,1,0,0,Nebraska,0,1,0,1,1,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1
COLUMBUS COMMUNITY HOSPITAL,Med,0,1,0,0,Texas,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
COLUMBUS REGIONAL HEALTHCARE SYSTEM,Low,1,0,0,0,North Carolina,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
COLUMBUS REGIONAL HOSPITAL,Low,1,0,0,0,Indiana,0,1,0,1,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
COLUSA REGIONAL MEDICAL CENTER,Very High,0,0,0,1,California,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0
COMANCHE COUNTY MEMORIAL HOSPITAL,Low,1,0,0,0,Oklahoma,0,1,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0
COMMUNITY FIRST MEDICAL CENTER,Med,0,1,0,0,Illinois,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,1,1,1,0,1,1,1,0,1,0,1,0,1,0,1,0
COMMUNITY HEALTH CENTER OF BRANCH COUNTY,Med,0,1,0,0,Michigan,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
COMMUNITY HOSPITAL,Low,1,0,0,0,Indiana,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1
COMMUNITY HOSPITAL,Low,1,0,0,0,Colorado,0,1,0,1,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
COMMUNITY HOSPITAL INC,Low,1,0,0,0,Alabama,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
COMMUNITY HOSPITAL OF ANDERSON AND MADISON COUNTY,Med,0,1,0,0,Indiana,1,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
COMMUNITY HOSPITAL OF HUNTINGTON PARK,Med,0,1,0,0,California,1,0,0,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0
COMMUNITY HOSPITAL OF LONG BEACH,Med,0,1,0,0,California,1,0,0,0,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0,1,1,0,0,0,1,1,1,1,1,0
COMMUNITY HOSPITAL OF SAN BERNARDINO,Very High,0,0,0,1,California,1,0,0,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0
COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,High,0,0,1,0,California,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,1,1,0,1,0,1
"COMMUNITY HOSPITAL, LLC",Low,1,0,0,0,Oklahoma,0,0,0,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,0,1,0,0,0,0,1,1,0,1,1,1,0
COMMUNITY HOSPITALS AND WELLNESS CENTERS,Med,0,1,0,0,Ohio,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
COMMUNITY HOWARD REGIONAL HEALTH INC,Low,1,0,0,0,Indiana,1,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1
COMMUNITY MEDICAL CENTER,Med,0,1,0,0,New Jersey,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
COMMUNITY MEDICAL CENTER,Med,0,1,0,0,Montana,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
"COMMUNITY MEMORIAL HEALTHCENTER, INC",Low,1,0,0,0,Virginia,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
COMMUNITY MEMORIAL HOSPITAL,Low,1,0,0,0,Wisconsin,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
COMMUNITY REGIONAL MEDICAL CENTER,High,0,0,1,0,California,1,0,0,0,0,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,0
CONCORD HOSPITAL,Med,0,1,0,0,New Hampshire,0,1,1,1,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
CONFLUENCE HEALTH- WENATCHEE VALLEY HOSP & CLINICS,Med,0,1,0,0,Washington,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1
CONNALLY MEMORIAL MEDICAL CENTER,Med,0,1,0,0,Texas,0,0,1,1,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
CONROE REGIONAL MEDICAL CENTER,Med,0,1,0,0,Texas,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
CONTRA COSTA REGIONAL MEDICAL CENTER,Very High,0,0,0,1,California,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1
CONWAY MEDICAL CENTER,Med,0,1,0,0,South Carolina,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CONWAY REGIONAL MEDICAL CENTER,Low,1,0,0,0,Arkansas,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
COOK  MEDICAL CENTER  A CAMPUS OF TIFT REG MED CTR,Low,1,0,0,0,Georgia,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
COOKEVILLE REGIONAL MEDICAL CENTER,Low,1,0,0,0,Tennessee,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"COOLEY DICKINSON HOSPITAL INC,THE",Med,0,1,0,0,Massachusetts,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
COOPER COUNTY MEMORIAL HOSPITAL,Med,0,1,0,0,Missouri,0,1,1,0,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
COOPER UNIVERSITY HOSPITAL,High,0,0,1,0,New Jersey,1,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0
COORDINATED HEALTH ORTHOPEDIC HOSPITAL,Low,1,0,0,0,Pennsylvania,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1
COOSA VALLEY MEDICAL CENTER,Low,1,0,0,0,Alabama,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
COPLEY MEMORIAL HOSPITAL,Med,0,1,0,0,Illinois,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0
CORAL GABLES HOSPITAL,Med,0,1,0,0,Florida,0,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0
"CORE INSTITUTE SPECIALTY HOSPITAL, THE",Low,1,0,0,0,Arizona,1,0,0,0,0,1,0,1,1,1,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,1,1,1,1,0
CORNERSTONE REGIONAL HOSPITAL,Low,1,0,0,0,Texas,1,0,0,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
CORNING HOSPITAL,Low,1,0,0,0,New York,1,1,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
CORONA REGIONAL MEDICAL CENTER,High,0,0,1,0,California,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0
"CORPUS CHRISTI MEDICAL CENTER,THE",Med,0,1,0,0,Texas,0,0,0,0,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0
"CORTLAND REGIONAL MEDICAL CENTER, INC",Med,0,1,0,0,New York,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
COSHOCTON COUNTY MEMORIAL HOSPITAL,Med,0,1,0,0,Ohio,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
COVENANT HOSPITAL LEVELLAND,High,0,0,1,0,Texas,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
COVENANT HOSPITAL PLAINVIEW,Med,0,1,0,0,Texas,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
COVENANT MEDICAL CENTER,Low,1,0,0,0,Michigan,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0
COVENANT MEDICAL CENTER,Low,1,0,0,0,Texas,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
COVENANT MEDICAL CENTER,Low,1,0,0,0,Iowa,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
COX MEDICAL CENTER BRANSON,Low,1,0,0,0,Missouri,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
COX MEDICAL CENTERS,Low,1,0,0,0,Missouri,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
CRAIG GENERAL HOSPITAL,Low,1,0,0,0,Oklahoma,1,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
CRENSHAW COMMUNITY HOSPITAL,Med,0,1,0,0,Alabama,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1
CRESTWOOD MEDICAL CENTER,Low,1,0,0,0,Alabama,0,1,1,1,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
CRISP REGIONAL HOSPITAL,Low,1,0,0,0,Georgia,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CRITTENDEN HEALTH SYSTEM,Low,1,0,0,0,Kentucky,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
CRITTENTON HOSPITAL MEDICAL CENTER,Med,0,1,0,0,Michigan,0,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1
CROSSROADS COMMUNITY HOSPITAL,Med,0,1,0,0,Illinois,1,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
CROUSE HOSPITAL,Med,0,1,0,0,New York,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0
CRYSTAL CLINIC ORTHOPAEDIC CENTER,Low,1,0,0,0,Ohio,1,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0
CUERO COMMUNITY HOSPITAL,Med,0,1,0,0,Texas,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
CULLMAN REGIONAL MEDICAL CENTER,Med,0,1,0,0,Alabama,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
CULPEPER COMMUNITY HOSPITAL,Med,0,1,0,0,Virginia,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0
CUMBERLAND MEDICAL CENTER,Low,1,0,0,0,Tennessee,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
CUMBERLAND RIVER HOSPITAL,Low,1,0,0,0,Tennessee,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
CYPRESS FAIRBANKS MEDICAL CENTER,High,0,0,1,0,Texas,1,0,0,0,0,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0
CYPRESS POINTE SURGICAL HOSPITAL,Low,1,0,0,0,Louisiana,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
D C H REGIONAL MEDICAL CENTER,Low,1,0,0,0,Alabama,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
D W MCMILLAN MEMORIAL HOSPITAL,Low,1,0,0,0,Alabama,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
DAKOTA PLAINS SURGICAL CENTER LLP,Low,1,0,0,0,South Dakota,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1
DALE MEDICAL CENTER,Low,1,0,0,0,Alabama,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
DALLAS MEDICAL CENTER,Med,0,1,0,0,Texas,1,0,0,0,0,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0
DALLAS REGIONAL MEDICAL CENTER,Low,1,0,0,0,Texas,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0
DALLAS REGIONAL MEDICAL CENTER,Low,1,0,0,0,Texas,1,0,0,NA,NA,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0
DAMERON HOSPITAL,High,0,0,1,0,California,1,0,0,0,0,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0
DANBURY HOSPITAL,Med,0,1,0,0,Connecticut,0,0,1,1,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0
DANVILLE REGIONAL MEDICAL CENTER,Med,0,1,0,0,Virginia,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
DAUTERIVE HOSPITAL,Low,1,0,0,0,Louisiana,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
DAVIESS COMMUNITY HOSPITAL,Low,1,0,0,0,Indiana,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
DAVIS HOSPITAL AND MEDICAL CENTER,Med,0,1,0,0,Utah,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1
DAVIS MEDICAL CENTER,Low,1,0,0,0,West Virginia,0,1,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
DAVIS REGIONAL MEDICAL CENTER,Low,1,0,0,0,North Carolina,1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
DAY KIMBALL HOSPITAL,Med,0,1,0,0,Connecticut,0,1,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
DEACONESS HOSPITAL,Med,0,1,0,0,Washington,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,1,1,1,0,1,0,1,0,1,0,1
DEACONESS HOSPITAL INC,Low,1,0,0,0,Indiana,1,1,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
DEARBORN COUNTY HOSPITAL,Low,1,0,0,0,Indiana,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
